,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output71Cp35_Colleoni_Wael_S,0,-29.37066940524823,35.714011039787685,0.0,0.2994854429605954,1.6968749001979407e-11,0.0,True,log,5e+21,3e+20,71,Colleoni,Wael,S,False
output48Cp55_Colleoni_Wael_S,1,-30.074636953290614,39.03821864261498,0.7039675480423853,0.14813118463998237,4.561585540817288e-11,0.0,True,log,5e+21,5e+20,48,Colleoni,Wael,S,False
output96Cp35_Colleoni_Wael_S,2,-31.079448321677884,39.62660357471301,1.7087789164296545,0.054232854450653276,3.083953171183408e-11,0.0,True,log,5e+21,3e+20,96,Colleoni,Wael,S,False
output48Cp510_Lambeck_Wael_S,3,-31.118116417684984,39.43657004525443,1.747447012436755,0.05217580070986481,4.65040338266074e-11,0.0,True,log,1e+22,5e+20,48,Lambeck,Wael,S,False
output96Cp37_Lambeck_Wael_S,4,-31.311467381218147,35.955892995007076,1.940797975969918,0.043002912068912484,1.362943310744329e-10,0.0,True,log,7e+21,3e+20,96,Lambeck,Wael,S,False
output71Cp310_Lambeck_Wael_S,5,-31.660559247647406,39.829555910298225,2.2898898423991767,0.03033117221048853,7.99654678141337e-11,0.0,True,log,1e+22,3e+20,71,Lambeck,Wael,S,False
output71Cp57_Lambeck_Wael_S,6,-31.680570711853996,39.13447941390962,2.3099013066057665,0.029730233925083484,1.0241960663829724e-10,0.0,True,log,7e+21,5e+20,71,Lambeck,Wael,S,False
output96Cp55_Lambeck_Wael_S,7,-31.716184648899695,33.61982651233428,2.345515243651466,0.028690055608716916,7.325497963413832e-11,0.0,True,log,5e+21,5e+20,96,Lambeck,Wael,S,False
output96Cp310_Lambeck_Wael_S,8,-31.87147801164513,43.968386214051904,2.5008086063969017,0.024563392024902545,8.040699271676841e-11,0.0,True,log,1e+22,3e+20,96,Lambeck,Wael,S,False
output48Cp310_Lambeck_Wael_S,9,-31.94303821854593,37.62486150586602,2.5723688132977003,0.022867049744655792,2.1600005055147134e-11,0.0,True,log,1e+22,3e+20,48,Lambeck,Wael,S,False
output48Cp520_Colleoni_Wael_S,10,-32.006314178875606,36.61951740618155,2.6356447736273765,0.021464942830158557,5.350485635312183e-11,0.0,True,log,2e+22,5e+20,48,Colleoni,Wael,S,False
output96Cp33_Colleoni_Wael_S,11,-32.06416226041264,37.097995653477035,2.6934928551644077,0.02025846957525625,1.6119174852176435e-10,0.0,True,log,3e+21,3e+20,96,Colleoni,Wael,S,False
output96Cp57_Colleoni_Wael_S,12,-32.35074557326624,41.202949352927845,2.980076168018009,0.015210555747232162,1.4797960681888834e-10,0.0,True,log,7e+21,5e+20,96,Colleoni,Wael,S,False
output71Cp35_Lambeck_Wael_S,13,-32.38200216876747,41.26988667884016,3.011332763519242,0.01474247891072215,3.786581076237519e-11,0.0,True,log,5e+21,3e+20,71,Lambeck,Wael,S,False
output96Cp55_Colleoni_Wael_S,14,-32.43562869311424,38.27736950966458,3.06495928786601,0.013972715344088902,1.1162824048400942e-10,0.0,True,log,5e+21,5e+20,96,Colleoni,Wael,S,False
output48Cp310_Colleoni_Wael_S,15,-32.5378960311026,36.82961416225132,3.1672266258543686,0.01261440211305889,3.557381623401789e-11,0.0,True,log,1e+22,3e+20,48,Colleoni,Wael,S,False
output48Cp35_Lambeck_Wael_S,16,-32.91943335331332,39.51642553818409,3.548763948065094,0.008613251279596853,4.3406067503332527e-11,0.0,True,log,5e+21,3e+20,48,Lambeck,Wael,S,False
output71Cp53_Lambeck_Wael_S,17,-33.00934524376328,36.817527102753225,3.6386758385150486,0.007872612572783171,3.4189340210643424e-11,0.0,True,log,3e+21,5e+20,71,Lambeck,Wael,S,False
output71Cp33_Colleoni_Wael_S,18,-33.028444003741875,41.39382568410676,3.6577745984936456,0.007723682154991024,5.219035229338856e-11,0.0,True,log,3e+21,3e+20,71,Colleoni,Wael,S,False
output71Cp510_Lambeck_Wael_S,19,-33.033870267300195,40.387112887607245,3.6632008620519656,0.007681884923952047,6.690272759211453e-11,0.0,True,log,1e+22,5e+20,71,Lambeck,Wael,S,False
output96Cp37_Colleoni_Wael_S,20,-33.08841919646188,43.39844326342852,3.717749791213649,0.007274070369928652,8.91853477403976e-11,0.0,True,log,7e+21,3e+20,96,Colleoni,Wael,S,False
output71Cp55_Colleoni_Wael_S,21,-33.106525894686634,37.35724525387687,3.7358564894384045,0.007143546219596952,2.466806768795826e-11,0.0,True,log,5e+21,5e+20,71,Colleoni,Wael,S,False
