,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output48Cp520_Lambeck_Wael_S,0,-20.69909379647953,20.484753579373052,0.0,0.3062177415671096,2.6330553054826636e-12,0.0,True,log,2e+22,5e+20,48,Lambeck,Wael,S,False
output96Cp530_Colleoni_Wael_S,1,-21.84480126255943,27.28487382801707,1.145707466079898,0.09737689419409327,1.1186113019518413e-12,0.0,True,log,3e+22,5e+20,96,Colleoni,Wael,S,False
output96Cp320_Lambeck_Wael_S,2,-22.196534666691417,23.05760011812519,1.4974408702118858,0.06850149380760787,7.347506173088316e-12,0.0,True,log,2e+22,3e+20,96,Lambeck,Wael,S,False
output96Cp330_Colleoni_Wael_S,3,-23.110012509819725,24.405863653509762,2.4109187133401946,0.027477780858615915,2.2102824326050702e-12,0.0,True,log,3e+22,3e+20,96,Colleoni,Wael,S,False
output71Cp320_Lambeck_Wael_S,4,-23.24285343383698,17.93266304740108,2.54375963735745,0.02405966496078236,4.2272352740777814e-12,0.0,True,log,2e+22,3e+20,71,Lambeck,Wael,S,False
output71Cp520_Colleoni_Wael_S,5,-23.3031958363456,23.801859513259732,2.6041020398660706,0.02265078213741996,2.809702606432242e-12,0.0,True,log,2e+22,5e+20,71,Colleoni,Wael,S,False
output71Cp510_Lambeck_Wael_S,6,-23.3813986379254,26.34374556473413,2.6823048414458697,0.0209469192114109,7.257699967445595e-12,0.0,True,log,1e+22,5e+20,71,Lambeck,Wael,S,False
output48Cp320_Colleoni_Wael_T,7,-23.495283965624672,25.732186290825645,2.7961901691451416,0.01869219867214106,1.76619330872651e-12,0.0,True,log,2e+22,3e+20,48,Colleoni,Wael,T,False
output71Cp530_Colleoni_Wael_S,8,-23.57064475510915,23.122743805758468,2.8715509586296193,0.01733531003727169,3.9003856306096025e-12,0.0,True,log,3e+22,5e+20,71,Colleoni,Wael,S,False
output48Cp520_Lambeck_Wael_T,9,-23.57216324364664,26.10298950930241,2.873069447167108,0.017309006543513347,2.945694078754608e-12,0.0,True,log,2e+22,5e+20,48,Lambeck,Wael,T,False
output71Cp530_Colleoni_Wael_T,10,-23.76775729820054,27.296033688245554,3.0686635017210087,0.014233992200543192,4.422634518513108e-12,0.0,True,log,3e+22,5e+20,71,Colleoni,Wael,T,False
output48Cp530_Colleoni_Wael_S,11,-23.86537410196087,27.048895772639156,3.16628030548134,0.012910179609206426,3.9856507547557155e-12,0.0,True,log,3e+22,5e+20,48,Colleoni,Wael,S,False
output96Cp510_Colleoni_Wael_S,12,-24.028154788163505,22.592042019047387,3.329060991683974,0.0109707806165643,4.299277909603467e-12,0.0,True,log,1e+22,5e+20,96,Colleoni,Wael,S,False
output96Cp330_Colleoni_Wael_T,13,-24.03916334497023,25.75005818519791,3.3400695484906997,0.010850670487517124,5.009820620432391e-12,0.0,True,log,3e+22,3e+20,96,Colleoni,Wael,T,False
output48Cp520_Colleoni_Wael_S,14,-24.123931085680915,26.581778660549023,3.4248372892013847,0.009968789211814849,6.508077393212611e-12,0.0,True,log,2e+22,5e+20,48,Colleoni,Wael,S,False
output48Cp330_Colleoni_Wael_T,15,-24.136352381676428,23.709226439889026,3.437258585196897,0.009845729791262215,4.142958514368742e-12,0.0,True,log,3e+22,3e+20,48,Colleoni,Wael,T,False
output71Cp520_Colleoni_Wael_T,16,-24.1437001646279,22.482356658881464,3.4446063681483707,0.009773650641026362,3.6207096298964427e-12,0.0,True,log,2e+22,5e+20,71,Colleoni,Wael,T,False
output96Cp530_Lambeck_Wael_S,17,-24.162683970569436,23.128420827875182,3.463590174089905,0.009589859600236375,1.0414400160262211e-12,0.0,True,log,3e+22,5e+20,96,Lambeck,Wael,S,False
output71Cp310_Lambeck_Wael_S,18,-24.258488029071607,21.03044277084008,3.5593942325920764,0.008713749583847633,1.4099336840195507e-12,0.0,True,log,1e+22,3e+20,71,Lambeck,Wael,S,False
output48Cp330_Lambeck_Wael_S,19,-24.3918193858216,29.30032500455292,3.692725589342068,0.007626056218127532,1.427697245744476e-12,0.0,True,log,3e+22,3e+20,48,Lambeck,Wael,S,False
output71Cp320_Lambeck_Wael_T,20,-24.43823385855646,23.298549865187304,3.7391400620769275,0.0072801856304778294,1.80073207236197e-12,0.0,True,log,2e+22,3e+20,71,Lambeck,Wael,T,False
output96Cp520_Lambeck_Wael_T,21,-24.45254981250508,26.649138353232672,3.753456016025549,0.007176705305360877,2.9979964145153528e-12,0.0,True,log,2e+22,5e+20,96,Lambeck,Wael,T,False
output96Cp310_Lambeck_Wael_T,22,-24.48787822514172,31.917880794145894,3.78878442866219,0.006927590032006082,4.686523686067906e-12,0.0,True,log,1e+22,3e+20,96,Lambeck,Wael,T,False
output71Cp320_ICE6G_Wael_T,23,-24.53459928939339,29.412345226930103,3.8355054929138603,0.006611370235537879,1.0947306858833794e-12,0.0,True,log,2e+22,3e+20,71,ICE6G,Wael,T,False
output48Cp310_Lambeck_Wael_S,24,-24.597155901012407,29.584999530111435,3.898062104532876,0.00621045596844137,4.113548441297081e-12,0.0,True,log,1e+22,3e+20,48,Lambeck,Wael,S,False
output48Cp35_Lambeck_Wael_T,25,-24.609623231802793,21.07517517123571,3.9105294353232622,0.006133508818989271,4.896133786213492e-12,0.0,True,log,5e+21,3e+20,48,Lambeck,Wael,T,False
output96Cp520_Lambeck_Wael_S,26,-24.646049162486914,29.001413496440996,3.9469553660073835,0.005914110209687326,2.7599646197762762e-12,0.0,True,log,2e+22,5e+20,96,Lambeck,Wael,S,False
output48Cp330_Colleoni_Wael_S,27,-24.76302523654121,30.570963078128305,4.06393144006168,0.0052612307516903475,2.568118101576344e-12,0.0,True,log,3e+22,3e+20,48,Colleoni,Wael,S,False
output71Cp520_Lambeck_Wael_T,28,-24.780839544960365,28.39656731243297,4.081745748480834,0.0051683354538362295,4.288619769003922e-12,0.0,True,log,2e+22,5e+20,71,Lambeck,Wael,T,False
output48Cp320_Colleoni_Wael_S,29,-24.832384442030644,22.7123878638849,4.133290645551114,0.004908683487826701,7.917619223997372e-13,0.0,True,log,2e+22,3e+20,48,Colleoni,Wael,S,False
output71Cp37_ICE6G_Wael_T,30,-24.891590548014147,21.23776506310725,4.192496751534616,0.004626495504944261,6.319783571695988e-12,0.0,True,log,7e+21,3e+20,71,ICE6G,Wael,T,False
output71Cp510_ICE6G_Wael_T,31,-24.902951119950362,22.47722049004655,4.203857323470832,0.004574233296329433,2.3594963854918528e-12,0.0,True,log,1e+22,5e+20,71,ICE6G,Wael,T,False
output48Cp33_Colleoni_Wael_T,32,-24.916141464236173,30.2305200261042,4.217047667756642,0.004514293764882283,3.651695686289084e-12,0.0,True,log,3e+21,3e+20,48,Colleoni,Wael,T,False
output48Cp33_Lambeck_Wael_T,33,-24.920024766345268,25.22551610851024,4.220930969865737,0.004496797392221164,2.1631087972918682e-12,0.0,True,log,3e+21,3e+20,48,Lambeck,Wael,T,False
output96Cp53_ICE6G_Wael_T,34,-24.94512046799485,25.697325963922765,4.24602667151532,0.004385351363573867,7.585537986340355e-12,0.0,True,log,3e+21,5e+20,96,ICE6G,Wael,T,False
output48Cp530_Colleoni_Wael_T,35,-24.95284018115248,31.483482167493495,4.253746384672951,0.00435162804360588,5.648320700618474e-12,0.0,True,log,3e+22,5e+20,48,Colleoni,Wael,T,False
output71Cp53_Colleoni_Wael_T,36,-24.95567291804152,28.999556182567492,4.256579121561991,0.004339318469441566,6.2949145764168135e-12,0.0,True,log,3e+21,5e+20,71,Colleoni,Wael,T,False
output96Cp55_Lambeck_Wael_S,37,-24.960668412564367,26.200019416530616,4.261574616084836,0.004317695481520657,6.547157242986281e-12,0.0,True,log,5e+21,5e+20,96,Lambeck,Wael,S,False
output71Cp310_Lambeck_Wael_T,38,-24.99182202232595,30.591820949325104,4.292728225846421,0.004185257355551482,1.8042847852143972e-12,0.0,True,log,1e+22,3e+20,71,Lambeck,Wael,T,False
output71Cp510_Colleoni_Wael_T,39,-24.996689819157318,25.41855088843001,4.297596022677787,0.004164933878466423,1.7875095856966704e-12,0.0,True,log,1e+22,5e+20,71,Colleoni,Wael,T,False
output48Cp320_Lambeck_Wael_T,40,-25.019039344827284,26.808715545596954,4.319945548347754,0.004072882070592826,3.6633421916129755e-12,0.0,True,log,2e+22,3e+20,48,Lambeck,Wael,T,False
output71Cp520_Lambeck_Wael_S,41,-25.033677951970507,21.534852272054692,4.334584155490976,0.004013695014971031,2.3691661602755222e-12,0.0,True,log,2e+22,5e+20,71,Lambeck,Wael,S,False
output48Cp55_Lambeck_Wael_S,42,-25.0409183104198,25.16194629084606,4.341824513940271,0.003984739375454894,6.334982791069723e-12,0.0,True,log,5e+21,5e+20,48,Lambeck,Wael,S,False
output48Cp310_Colleoni_Wael_S,43,-25.058103440014648,24.877601106489788,4.359009643535117,0.003916846160627995,9.597276631978341e-13,0.0,True,log,1e+22,3e+20,48,Colleoni,Wael,S,False
output96Cp37_ICE6G_Wael_T,44,-25.07839083971053,23.82505099037119,4.3792970432309986,0.0038381841587047426,1.248452147633568e-13,0.0,True,log,7e+21,3e+20,96,ICE6G,Wael,T,False
output71Cp33_ICE6G_Wael_S,45,-25.11560195462934,20.896346329225096,4.41650815814981,0.003697985694454127,3.755712742187982e-12,0.0,True,log,3e+21,3e+20,71,ICE6G,Wael,S,False
output71Cp57_Lambeck_Wael_S,46,-25.21360601379162,25.502896548091528,4.514512217312088,0.0033527610665451497,2.969574707497603e-12,0.0,True,log,7e+21,5e+20,71,Lambeck,Wael,S,False
output71Cp530_Lambeck_Wael_S,47,-25.25938005631034,22.894946890993886,4.560286259830811,0.003202751111569371,4.248551555253601e-12,0.0,True,log,3e+22,5e+20,71,Lambeck,Wael,S,False
output96Cp53_ICE6G_Wael_S,48,-25.260991456200916,22.78677090947138,4.561897659721385,0.003197594354694466,1.9108661722160684e-12,0.0,True,log,3e+21,5e+20,96,ICE6G,Wael,S,False
