,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,posterior_trace,posterior_predict,hmc_divergence_pct
output71Cp33_Lambeck_Glac_Wael_S,3e+21,3e+20,71.0,Lambeck,Wael,S,True,True,11.0
output71Cp33_Lambeck_Glac_Wael_T,3e+21,3e+20,71.0,Lambeck,Wael,T,True,True,33.0
output71Cp340_Colleoni_Glac_Wael_S,4e+22,3e+20,71.0,Colleoni,Wael,S,True,True,22.0
output71Cp340_Colleoni_Glac_Wael_T,4e+22,3e+20,71.0,Colleoni,Wael,T,True,True,14.0
output71Cp340_L6G-32_Glac_Wael_S,4e+22,3e+20,71.0,L6G-32,Wael,S,True,True,11.0
output71Cp340_L6G-32_Glac_Wael_T,4e+22,3e+20,71.0,L6G-32,Wael,T,True,True,35.0
output71Cp340_L6G-47_Glac_Wael_S,4e+22,3e+20,71.0,L6G-47,Wael,S,True,True,7.0
output71Cp340_L6G-47_Glac_Wael_T,4e+22,3e+20,71.0,L6G-47,Wael,T,True,True,16.0
output71Cp340_L6G_Glac_Wael_S,4e+22,3e+20,71.0,L6G,Wael,S,True,True,15.0
output71Cp340_L6G_Glac_Wael_T,4e+22,3e+20,71.0,L6G,Wael,T,True,True,29.0
output71Cp340_Lambeck_Glac_Wael_S,4e+22,3e+20,71.0,Lambeck,Wael,S,True,True,3.0
output71Cp340_Lambeck_Glac_Wael_T,4e+22,3e+20,71.0,Lambeck,Wael,T,True,True,25.0
output71Cp35_Colleoni_Glac_Wael_S,5e+21,3e+20,71.0,Colleoni,Wael,S,True,True,5.0
output71Cp35_Colleoni_Glac_Wael_T,5e+21,3e+20,71.0,Colleoni,Wael,T,True,True,12.0
output71Cp35_L6G-32_Glac_Wael_S,5e+21,3e+20,71.0,L6G-32,Wael,S,True,True,40.0
output71Cp35_L6G-32_Glac_Wael_T,5e+21,3e+20,71.0,L6G-32,Wael,T,True,True,19.0
output71Cp35_L6G-47_Glac_Wael_S,5e+21,3e+20,71.0,L6G-47,Wael,S,True,True,25.0
output71Cp35_L6G-47_Glac_Wael_T,5e+21,3e+20,71.0,L6G-47,Wael,T,True,True,48.0
output71Cp35_L6G_Glac_Wael_S,5e+21,3e+20,71.0,L6G,Wael,S,True,True,24.0
output71Cp35_L6G_Glac_Wael_T,5e+21,3e+20,71.0,L6G,Wael,T,True,True,28.0
output71Cp35_Lambeck_Glac_Wael_S,5e+21,3e+20,71.0,Lambeck,Wael,S,True,True,14.0
output71Cp35_Lambeck_Glac_Wael_T,5e+21,3e+20,71.0,Lambeck,Wael,T,True,True,26.0
output71Cp37_Colleoni_Glac_Wael_S,7e+21,3e+20,71.0,Colleoni,Wael,S,True,True,8.0
output71Cp37_Colleoni_Glac_Wael_T,7e+21,3e+20,71.0,Colleoni,Wael,T,True,True,4.0
output71Cp37_L6G-32_Glac_Wael_S,7e+21,3e+20,71.0,L6G-32,Wael,S,True,True,35.0
output71Cp37_L6G-32_Glac_Wael_T,7e+21,3e+20,71.0,L6G-32,Wael,T,True,True,33.0
output71Cp37_L6G-47_Glac_Wael_S,7e+21,3e+20,71.0,L6G-47,Wael,S,True,True,21.0
output71Cp37_L6G-47_Glac_Wael_T,7e+21,3e+20,71.0,L6G-47,Wael,T,True,True,33.0
output71Cp37_L6G_Glac_Wael_S,7e+21,3e+20,71.0,L6G,Wael,S,True,True,17.0
output71Cp37_L6G_Glac_Wael_T,7e+21,3e+20,71.0,L6G,Wael,T,True,True,22.0
output71Cp37_Lambeck_Glac_Wael_S,7e+21,3e+20,71.0,Lambeck,Wael,S,True,True,13.0
output71Cp37_Lambeck_Glac_Wael_T,7e+21,3e+20,71.0,Lambeck,Wael,T,True,True,25.0
output71Cp410_Colleoni_Glac_Wael_S,1e+22,4e+20,71.0,Colleoni,Wael,S,True,True,9.0
output71Cp410_Colleoni_Glac_Wael_T,1e+22,4e+20,71.0,Colleoni,Wael,T,True,True,3.0
output71Cp410_L6G-32_Glac_Wael_S,1e+22,4e+20,71.0,L6G-32,Wael,S,True,True,22.0
output71Cp410_L6G-32_Glac_Wael_T,1e+22,4e+20,71.0,L6G-32,Wael,T,True,True,18.0
output71Cp410_L6G-47_Glac_Wael_S,1e+22,4e+20,71.0,L6G-47,Wael,S,True,True,7.0
output71Cp410_L6G-47_Glac_Wael_T,1e+22,4e+20,71.0,L6G-47,Wael,T,True,True,19.0
output71Cp410_L6G_Glac_Wael_S,1e+22,4e+20,71.0,L6G,Wael,S,True,True,19.0
output71Cp410_L6G_Glac_Wael_T,1e+22,4e+20,71.0,L6G,Wael,T,True,True,23.0
output71Cp410_Lambeck_Glac_Wael_S,1e+22,4e+20,71.0,Lambeck,Wael,S,True,True,4.0
