,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output71Cp330_Colleoni_Wael_T,82,-30.736348735714046,8.333750251507524,6.7708597431620845,8.854598553685957e-05,3.8413183330558037e-13,0.0,True,log,3e+22,3e+20,71,Colleoni,Wael,T,False
output48Cp520_Colleoni_Wael_S,83,-30.74526335195273,6.311207338560099,6.7797743594007684,8.776014001622305e-05,4.018953233686956e-13,0.0,True,log,2e+22,5e+20,48,Colleoni,Wael,S,False
output96Cp520_Lambeck_Wael_T,84,-30.810761365219147,7.701221272877657,6.845272372667186,8.219622678452806e-05,9.583615670718653e-13,0.0,True,log,2e+22,5e+20,96,Lambeck,Wael,T,False
output48Cp530_Colleoni_Wael_S,85,-30.87690932566217,6.54953361741633,6.9114203331102075,7.693504063642929e-05,4.685226748177368e-13,0.0,True,log,3e+22,5e+20,48,Colleoni,Wael,S,False
output96Cp37_Lambeck_Wael_T,86,-30.913684893320177,8.208873433701903,6.948195900768216,7.41571040184654e-05,7.736211342928873e-13,0.0,True,log,7e+21,3e+20,96,Lambeck,Wael,T,False
output96Cp520_ICE6G_Wael_S,87,-30.929914292351004,6.025473777539727,6.964425299799043,7.29632924122334e-05,9.862962811880149e-14,0.0,True,log,2e+22,5e+20,96,ICE6G,Wael,S,False
output96Cp57_Lambeck_Wael_T,88,-31.06717328214683,8.04762302347033,7.101684289594868,6.360534331578724e-05,5.266807622566214e-13,0.0,True,log,7e+21,5e+20,96,Lambeck,Wael,T,False
output71Cp320_Colleoni_Wael_T,89,-31.166015052430446,8.739801517804377,7.200526059878484,5.761919224679846e-05,3.805791361704198e-13,0.0,True,log,2e+22,3e+20,71,Colleoni,Wael,T,False
output71Cp530_Lambeck_Wael_T,90,-31.272049425669685,7.240205866856318,7.306560433117724,5.1822340376678204e-05,6.101972477732801e-13,0.0,True,log,3e+22,5e+20,71,Lambeck,Wael,T,False
output71Cp510_Lambeck_Wael_T,91,-31.290011032212455,7.4186554040688755,7.3245220396604935,5.0899837506800613e-05,8.233589131649993e-13,0.0,True,log,1e+22,5e+20,71,Lambeck,Wael,T,False
output96Cp530_ICE6G_Wael_S,92,-31.32781628765384,6.833831755306061,7.362327295101878,4.90114760459959e-05,3.916794245283798e-13,0.0,True,log,3e+22,5e+20,96,ICE6G,Wael,S,False
output96Cp37_Colleoni_Wael_T,93,-31.358956804431486,9.124779178091156,7.393467811879525,4.7508752581119303e-05,3.1352145678021676e-13,0.0,True,log,7e+21,3e+20,96,Colleoni,Wael,T,False
output96Cp520_Colleoni_Wael_T,94,-31.525752263058877,8.655867193357778,7.5602632705069155,4.0210111759628695e-05,1.83881952997408e-13,0.0,True,log,2e+22,5e+20,96,Colleoni,Wael,T,False
output96Cp530_Colleoni_Wael_T,95,-31.588776253396038,8.66126086617891,7.6232872608440765,3.775411626817181e-05,2.2651172985669537e-13,0.0,True,log,3e+22,5e+20,96,Colleoni,Wael,T,False
output96Cp57_Colleoni_Wael_T,96,-31.653148358063085,8.968800007079569,7.687659365511124,3.5400374716657646e-05,8.517805122411022e-13,0.0,True,log,7e+21,5e+20,96,Colleoni,Wael,T,False
output71Cp37_Colleoni_Wael_T,97,-31.691898589562342,8.997705959985119,7.726409597010381,3.4054840252029314e-05,3.0466834668427924e-13,0.0,True,log,7e+21,3e+20,71,Colleoni,Wael,T,False
output96Cp55_Lambeck_Wael_T,98,-31.77869356551655,8.133158388669468,7.81320457296459,3.122369300614918e-05,6.616828271702397e-13,0.0,True,log,5e+21,5e+20,96,Lambeck,Wael,T,False
output96Cp510_Colleoni_Wael_T,99,-31.8072696334422,9.213704137511641,7.841780640890239,3.0344070566093638e-05,3.8282622282186314e-13,0.0,True,log,1e+22,5e+20,96,Colleoni,Wael,T,False
output71Cp520_Colleoni_Wael_T,100,-32.09030039118295,8.081037336854,8.124811398630989,2.286415435521674e-05,8.446751117758505e-13,0.0,True,log,2e+22,5e+20,71,Colleoni,Wael,T,False
