,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
2841,54.89,-4.44,3.96,0.21,0.21,3743.0,226.0,183.0,0.21,204.5
2847,53.47,-0.48,-3.38,0.4,0.4,3764.0,123.0,126.0,0.4,124.5
2848,53.41,-3.15,-0.79,0.21,0.21,3764.0,147.0,157.0,0.21,152.0
2851,54.68,-1.2,-1.06,0.21,0.21,3775.0,196.0,186.0,0.21,191.0
2853,55.8,-4.5,6.17,0.22,0.22,3785.0,173.0,144.0,0.22,158.5
2863,53.67,-0.56,-4.0,0.21,0.21,3854.0,214.0,204.0,0.21,209.0
2865,55.39,-1.62,0.13,0.21,0.21,3856.0,118.0,138.0,0.21,128.0
2868,55.85,-4.5,5.88,0.22,0.22,3871.0,209.0,178.0,0.22,193.5
2879,53.08,-0.21,-3.79,0.81,0.81,3943.0,405.0,355.0,0.81,380.0
2881,53.71,-0.52,-4.05,0.37,0.37,3958.0,127.0,111.0,0.37,119.0
2883,55.86,-4.49,5.84,0.23,0.23,3975.0,174.0,142.0,0.23,158.0
2886,53.68,-0.51,-4.6,0.41,0.41,4003.0,140.0,114.0,0.41,127.0
2890,54.9,-4.45,4.97,0.21,0.21,4018.0,203.0,172.0,0.21,187.5
2893,54.68,-1.2,-1.46,0.8,0.8,4026.0,218.0,195.0,0.8,206.5
2894,55.53,-1.63,0.44,0.4,0.4,4030.0,197.0,167.0,0.4,182.0
2906,55.26,-4.82,6.83,0.21,0.21,4096.0,136.0,117.0,0.21,126.5
2911,53.71,-0.7,-6.86,0.21,0.21,4132.0,274.0,209.0,0.21,241.5
2913,53.71,-0.52,-4.26,0.37,0.37,4140.0,147.0,156.0,0.37,151.5
2915,53.09,-0.23,-5.05,0.81,0.81,4151.0,369.0,419.0,0.81,394.0
2917,53.03,-0.09,-4.08,0.21,0.21,4180.0,236.0,246.0,0.21,241.0
2923,53.07,-0.16,-3.82,0.21,0.21,4209.0,206.0,220.0,0.21,213.0
2924,54.92,-4.41,4.59,0.21,0.21,4209.0,206.0,220.0,0.21,213.0
2925,55.44,-1.59,-1.39,0.5,0.5,4213.0,192.0,122.0,0.5,157.0
2930,53.03,-0.09,-3.72,0.21,0.21,4230.0,192.0,242.0,0.21,217.0
2931,53.1,0.03,-4.6,0.21,0.21,4231.0,189.0,238.0,0.21,213.5
2943,53.6,-0.87,-5.84,0.21,0.21,4309.0,128.0,207.0,0.21,167.5
2950,53.66,-0.71,-5.05,0.21,0.21,4349.0,218.0,251.0,0.21,234.5
2955,53.23,0.34,-4.77,0.21,0.21,4385.0,420.0,295.0,0.21,357.5
2956,55.6,-4.65,8.68,0.21,0.21,4390.0,469.0,523.0,0.21,496.0
2959,53.09,-0.23,-5.05,0.81,0.81,4399.0,421.0,314.0,0.81,367.5
2961,53.11,-0.07,-3.94,0.21,0.21,4407.0,114.0,158.0,0.21,136.0
2965,53.13,-0.24,-4.7,0.81,0.81,4449.0,366.0,297.0,0.81,331.5
2970,53.91,-0.38,-2.2,0.21,0.21,4474.0,308.0,180.0,0.21,244.0
2974,54.93,-4.4,4.94,0.21,0.21,4495.0,319.0,251.0,0.21,285.0
2977,53.11,-0.07,-4.26,0.8,0.8,4502.0,295.0,89.0,0.8,192.0
2978,54.38,-4.5,2.05,0.5,0.5,4505.0,303.0,205.0,0.5,254.0
2982,53.63,-0.11,-3.46,0.7,0.7,4534.0,287.0,216.0,0.7,251.5
2983,53.25,-4.29,-2.33,0.52,0.52,4535.0,292.0,286.0,0.52,289.0
2984,54.91,-4.45,4.98,0.21,0.21,4538.0,269.0,120.0,0.21,194.5
2985,54.9,-4.46,5.23,0.21,0.21,4559.0,270.0,263.0,0.21,266.5
2986,53.66,-0.71,-5.89,0.21,0.21,4564.0,251.0,146.0,0.21,198.5
2989,53.03,-0.09,-4.3,0.8,0.8,4588.0,244.0,179.0,0.8,211.5
2990,53.11,-0.23,-4.7,0.81,0.81,4591.0,278.0,431.0,0.81,354.5
2991,53.57,-3.04,-0.65,1.0,1.0,4594.0,449.0,506.0,1.0,477.5
2996,53.11,-0.23,-4.7,0.81,0.81,4633.0,327.0,388.0,0.81,357.5
2997,53.16,0.28,-4.15,0.21,0.21,4634.0,188.0,187.0,0.21,187.5
2998,55.69,-1.94,2.1,0.21,0.21,4635.0,189.0,190.0,0.21,189.5
3001,53.1,-0.23,-5.05,0.81,0.81,4655.0,209.0,241.0,0.81,225.0
3002,54.66,-1.19,-0.9,0.25,0.25,4656.0,193.0,232.0,0.25,212.5
3005,53.14,-0.25,-5.5,0.81,0.81,4677.0,269.0,260.0,0.81,264.5
3008,53.27,0.32,-4.88,0.21,0.21,4679.0,151.0,153.0,0.21,152.0
3009,53.14,-0.25,-5.05,0.23,0.23,4680.0,360.0,383.0,0.23,371.5
3011,53.91,-0.38,-2.2,0.7,0.7,4684.0,146.0,156.0,0.7,151.0
