,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
8068,54.3,8.68,-0.9,0.2,0.2,2758.0,260.0,112.0,0.2,186.0
8069,53.46,8.3,-0.22,0.2,0.2,3154.0,84.0,72.0,0.2,78.0
8070,53.59,7.99,-0.18,0.2,0.2,3482.0,217.0,205.0,0.2,211.0
8071,53.53,8.09,-0.74,0.2,0.2,3489.0,258.0,228.0,0.2,243.0
8072,53.61,8.02,-1.19,0.2,0.2,3623.0,214.0,215.0,0.2,214.5
8073,53.51,8.02,-2.32,0.2,0.2,3889.0,191.0,195.0,0.2,193.0
8074,53.53,8.07,-0.92,0.2,0.2,4155.0,223.0,255.0,0.2,239.0
8075,53.51,8.02,-2.22,0.2,0.2,4535.0,240.0,288.0,0.2,264.0
8076,53.68,6.9,0.54,0.2,0.2,432.0,431.0,223.0,0.2,327.0
8077,54.75,8.45,-3.93,0.2,0.2,4652.0,212.0,183.0,0.2,197.5
8078,53.46,8.3,-3.2,0.2,0.2,4700.0,161.0,134.0,0.2,147.5
8079,53.62,8.02,-3.6,0.2,0.2,4703.0,173.0,143.0,0.2,158.0
8080,53.51,8.02,-4.43,0.2,0.2,4935.0,221.0,344.0,0.2,282.5
8081,53.68,6.9,0.59,0.2,0.2,468.0,166.0,172.0,0.2,169.0
8082,53.51,8.02,-4.65,0.2,0.2,5227.0,265.0,350.0,0.2,307.5
8083,53.59,7.99,-7.18,0.2,0.2,5398.0,332.0,189.0,0.2,260.5
8084,54.76,8.49,-5.13,0.2,0.2,5407.0,354.0,194.0,0.2,274.0
8085,53.59,8.05,-5.74,0.2,0.2,5447.0,127.0,136.0,0.2,131.5
8086,53.79,8.55,-5.97,0.2,0.2,5449.0,360.0,191.0,0.2,275.5
8087,53.68,6.9,0.79,0.2,0.2,542.0,222.0,126.0,0.2,174.0
8088,53.53,8.09,-7.1,0.2,0.2,5908.0,160.0,87.0,0.2,123.5
8089,53.37,7.3,-5.94,0.2,0.2,5912.0,170.0,254.0,0.2,212.0
8090,53.51,8.02,-7.05,0.2,0.2,6087.0,170.0,191.0,0.2,180.5
8091,53.8,7.87,1.15,0.2,0.2,569.0,227.0,104.0,0.2,165.5
8092,53.68,6.9,0.99,0.2,0.2,582.0,80.0,82.0,0.2,81.0
8093,53.62,8.02,-5.92,0.2,0.2,6374.0,244.0,264.0,0.2,254.0
8094,53.51,8.02,-7.92,0.2,0.2,6507.0,742.0,743.0,0.2,742.5
8095,53.68,6.9,0.94,0.2,0.2,569.0,410.0,330.0,0.2,370.0
8096,53.51,8.02,-6.55,0.2,0.2,6569.0,261.0,271.0,0.2,266.0
8097,53.51,8.02,-6.73,0.2,0.2,6987.0,234.0,248.0,0.2,241.0
8098,53.68,6.9,0.99,0.2,0.2,602.0,85.0,77.0,0.2,81.0
8099,53.68,6.9,0.4,0.2,0.2,609.0,113.0,150.0,0.2,131.5
8100,53.41,7.16,-9.92,0.2,0.2,7206.0,451.0,367.0,0.2,409.0
8101,53.42,7.19,-12.4,0.2,0.2,7263.0,298.0,213.0,0.2,255.5
8102,53.39,7.04,-10.66,0.2,0.2,7319.0,150.0,111.0,0.2,130.5
8103,53.68,6.9,-0.05,0.2,0.2,626.0,292.0,284.0,0.2,288.0
8104,53.6,6.68,0.27,0.2,0.2,312.0,167.0,129.0,0.2,148.0
8105,53.68,6.9,0.1,0.2,0.2,643.0,302.0,279.0,0.2,290.5
8106,53.67,8.54,-11.5,0.2,0.2,7702.0,135.0,223.0,0.2,179.0
8107,53.75,7.47,0.86,0.2,0.2,652.0,144.0,249.0,0.2,196.5
8108,53.67,8.05,-14.32,0.2,0.2,7808.0,195.0,188.0,0.2,191.5
8109,53.56,8.05,-12.37,0.2,0.2,7892.0,274.0,286.0,0.2,280.0
8110,53.51,8.53,-13.28,0.2,0.2,7937.0,149.0,109.0,0.2,129.0
8111,53.94,8.48,-21.31,0.2,0.2,8104.0,433.0,433.0,0.2,433.0
8112,53.94,8.48,-21.31,0.2,0.2,8104.0,433.0,433.0,0.2,433.0
8113,53.87,7.91,-23.16,1.0,1.0,8348.0,167.0,165.0,1.0,166.0
8114,53.87,7.91,-23.16,1.0,1.0,8348.0,167.0,165.0,1.0,166.0
8115,53.95,8.46,-24.34,0.2,0.2,8502.0,107.0,102.0,0.2,104.5
8116,53.95,8.46,-24.34,0.2,0.2,8502.0,107.0,102.0,0.2,104.5
8117,53.95,8.41,-24.4,0.2,0.2,8583.0,180.0,390.0,0.2,285.0
8118,53.95,8.41,-24.4,0.2,0.2,8583.0,180.0,390.0,0.2,285.0
8119,53.87,7.91,-24.23,1.0,1.0,8839.0,440.0,561.0,1.0,500.5
8120,53.87,7.91,-24.23,1.0,1.0,8839.0,440.0,561.0,1.0,500.5
8121,53.87,7.91,-23.6,1.0,1.0,8844.0,198.0,160.0,1.0,179.0
8122,53.87,7.91,-23.6,1.0,1.0,8844.0,198.0,160.0,1.0,179.0
8123,53.94,8.98,-29.0,0.2,0.2,8862.0,213.0,151.0,0.2,182.0
8124,53.68,6.9,0.2,0.2,0.2,838.0,164.0,208.0,0.2,186.0
8125,53.69,8.52,-0.65,0.2,0.2,3250.0,100.0,100.0,0.2,100.0
8126,53.4,8.44,-1.8,0.2,0.2,2850.0,50.0,50.0,0.2,50.0
8127,53.27,7.39,-1.36,0.2,0.2,2600.0,50.0,50.0,0.2,50.0
8128,53.31,7.35,-1.7,0.2,0.2,2500.0,50.0,50.0,0.2,50.0
8129,53.25,7.4,-1.66,0.2,0.2,2500.0,50.0,50.0,0.2,50.0
8130,53.31,7.35,-0.8,0.2,0.2,2300.0,50.0,50.0,0.2,50.0
8131,53.68,7.31,-1.0,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8132,53.25,7.4,-1.0,0.2,0.2,2050.0,30.0,30.0,0.2,30.0
8133,53.65,8.53,-0.75,0.2,0.2,1975.0,25.0,25.0,0.2,25.0
8134,53.69,8.52,-0.7,0.2,0.2,2000.0,50.0,50.0,0.2,50.0
8135,53.27,7.39,-0.8,0.2,0.2,1975.0,25.0,25.0,0.2,25.0
8136,53.29,7.39,-0.8,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8137,53.58,7.86,-0.65,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8138,53.56,8.28,-0.6,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8139,53.88,9.43,-0.8,0.2,0.2,1800.0,50.0,50.0,0.2,50.0
8140,53.31,7.35,-0.7,0.2,0.2,1950.0,30.0,30.0,0.2,30.0
8141,53.69,8.52,-0.3,0.2,0.2,1915.0,10.0,10.0,0.2,10.0
8142,53.82,8.86,-0.35,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8143,53.93,9.1,-0.3,0.2,0.2,1875.0,25.0,25.0,0.2,25.0
8144,53.69,8.52,-0.25,0.2,0.2,1915.0,10.0,10.0,0.2,10.0
8145,53.54,8.53,-0.2,0.2,0.2,2040.0,40.0,40.0,0.2,40.0
8146,53.74,9.4,-0.2,0.2,0.2,1950.0,50.0,50.0,0.2,50.0
8147,54.23,8.99,0.0,0.2,0.2,1900.0,50.0,50.0,0.2,50.0
8148,53.72,9.42,-0.15,0.2,0.2,1950.0,50.0,50.0,0.2,50.0
8149,53.69,8.52,-0.15,0.2,0.2,1850.0,25.0,25.0,0.2,25.0
8150,54.05,9.01,0.5,0.2,0.2,1802.0,2.0,2.0,0.2,2.0
8151,54.35,8.94,0.45,0.2,0.2,1825.0,25.0,25.0,0.2,25.0
8152,53.69,8.52,0.35,0.2,0.2,1800.0,25.0,25.0,0.2,25.0
8153,53.62,8.31,0.4,0.2,0.2,1750.0,25.0,25.0,0.2,25.0
8154,53.69,8.52,0.5,0.2,0.2,1750.0,25.0,25.0,0.2,25.0
8155,53.69,8.52,0.65,0.2,0.2,1750.0,25.0,25.0,0.2,25.0
8156,53.69,8.52,0.8,0.2,0.2,1650.0,25.0,25.0,0.2,25.0
8157,53.69,8.52,0.4,0.2,0.2,1600.0,25.0,25.0,0.2,25.0
8158,53.69,8.52,0.4,0.2,0.2,1549.0,27.0,27.0,0.2,27.0
8159,54.15,8.96,1.0,0.2,0.2,1260.0,10.0,10.0,0.2,10.0
8160,54.3,8.92,0.6,0.2,0.2,1200.0,50.0,50.0,0.2,50.0
8161,54.3,8.92,0.6,0.2,0.2,1200.0,50.0,50.0,0.2,50.0
8162,54.3,8.92,0.6,0.2,0.2,1225.0,25.0,25.0,0.2,25.0
8163,53.45,7.07,0.2,0.2,0.2,1225.0,25.0,25.0,0.2,25.0
8164,53.61,8.33,0.5,0.2,0.2,1275.0,25.0,25.0,0.2,25.0
8165,53.67,7.91,0.4,0.2,0.2,1325.0,5.0,5.0,0.2,5.0
8166,53.33,7.34,-0.1,0.2,0.2,1100.0,50.0,50.0,0.2,50.0
8167,53.31,7.35,-0.35,0.2,0.2,1025.0,50.0,50.0,0.2,50.0
8168,53.33,7.3,-0.5,0.2,0.2,1050.0,50.0,50.0,0.2,50.0
8169,54.51,8.63,-0.5,0.2,0.2,1100.0,50.0,50.0,0.2,50.0
8170,54.2829,8.0699,-24.505,0.20600000000000002,0.20600000000000002,8955.0,306.0,289.0,0.20600000000000002,297.5
8171,54.9433,5.75,-38.28,2.0,2.0,9152.0,428.0,327.0,2.0,377.5
8172,55.3233,6.5167,-37.58,2.0,2.0,9360.0,586.0,550.0,2.0,568.0
8173,54.9433,5.75,-38.38,2.0,2.0,9473.0,351.0,301.0,2.0,326.0
8174,54.903,6.8769,-33.46,2.0,2.0,9509.0,234.0,232.0,2.0,233.0
8175,54.11,6.92,-36.5,2.0,2.0,9535.0,409.0,585.0,2.0,497.0
8176,54.7683,3.4617,-46.0,2.0,2.0,9832.0,799.0,737.0,2.0,768.0
8177,54.9133,6.9513,-36.66,2.0,2.0,9979.0,273.0,205.0,2.0,239.0
8178,54.1696,6.983,-38.45,2.0,2.0,10067.0,323.0,204.0,2.0,263.5
8179,54.6967,6.191,-45.75,2.0,2.0,10091.0,541.0,485.0,2.0,513.0
8180,54.9567,5.7083,-42.9,2.0,2.0,10091.0,541.0,485.0,2.0,513.0
8181,54.1183,7.2133,-38.05,2.0,2.0,10091.0,541.0,485.0,2.0,513.0
8182,55.0773,5.8282,-48.12,0.204,0.204,10353.0,678.0,732.0,0.204,705.0
8183,54.805,5.9867,-42.5,2.0,2.0,10543.0,916.0,723.0,2.0,819.5
