,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate
output71Cp310_L6G_Glac_Wael_S,240,-70.92293458939821,35.88059843909451,8.619441549336813,2.1083747791276385e-05,7.344917515350363e-12,0.0,True,log,1e+22,3e+20,71.0,L6G,Glac,S
output96Cp440_L6G-47_Glac_Wael_S,241,-70.98118208674477,36.74447121952732,8.67768904668337,1.98907539769229e-05,1.59140619777957e-11,0.0,True,log,4e+22,4e+20,96.0,L6G-47,Glac,S
output71Cp540_Lambeck_Glac_Wael_T,242,-71.00846194756726,33.34105507960444,8.704968907505858,1.93554713896397e-05,9.19232828091211e-12,0.0,True,log,4e+22,5e+20,71.0,Lambeck,Glac,T
output71Cp310_L6G-32_Glac_Wael_S,243,-71.02840358727202,49.70464688086759,8.724910547210627,1.897331463327837e-05,2.8542901450359405e-12,0.0,True,log,1e+22,3e+20,71.0,L6G-32,Glac,S
output71Cp515_L6G-32_Glac_Wael_S,244,-71.0572010291301,43.846021594179035,8.753707989068701,1.843472394554536e-05,1.1669208910317782e-11,0.0,True,log,1.5e+22,5e+20,71.0,L6G-32,Glac,S
output96Cp57_L6G-32_Glac_Wael_S,245,-71.09411228058067,34.23195515235764,8.790619240519277,1.7766680225202607e-05,1.658197211727376e-11,0.0,True,log,7e+21,5e+20,96.0,L6G-32,Glac,S
output71Cp415_Lambeck_Glac_Wael_T,246,-71.10783245977309,46.01052714125518,8.804339419711695,1.7524582796663058e-05,9.025990251925375e-12,0.0,True,log,1.5e+22,4e+20,71.0,Lambeck,Glac,T
output71Cp53_L6G-32_Glac_Wael_T,247,-71.11922579861641,31.674434221078286,8.815732758555015,1.7326052396404103e-05,4.094825359761822e-12,0.0,True,log,3e+21,5e+20,71.0,L6G-32,Glac,T
output96Cp515_L6G-32_Glac_Wael_S,248,-71.13256708229488,41.95029119137162,8.829074042233486,1.7096435712785788e-05,1.6681448095714077e-11,0.0,True,log,1.5e+22,5e+20,96.0,L6G-32,Glac,S
output71Cp320_L6G_Glac_Wael_S,249,-71.16373306728137,42.64087639267155,8.860240027219973,1.6571825907613114e-05,1.0901822832286552e-11,0.0,True,log,2e+22,3e+20,71.0,L6G,Glac,S
output96Cp37_L6G_Glac_Wael_S,250,-71.2554715721968,33.87052970439079,8.9519785321354,1.5119200827520004e-05,1.000653908943047e-11,0.0,True,log,7e+21,3e+20,96.0,L6G,Glac,S
output96Cp540_L6G_Glac_Wael_T,251,-71.27367124093361,40.516195690668866,8.970178200872212,1.4846525210287919e-05,4.862211025007791e-12,0.0,True,log,4e+22,5e+20,96.0,L6G,Glac,T
output96Cp415_Lambeck_Glac_Wael_T,252,-71.28412152213963,39.13211938647489,8.980628482078231,1.4692182712781173e-05,8.58126162651623e-12,0.0,True,log,1.5e+22,4e+20,96.0,Lambeck,Glac,T
output96Cp540_Lambeck_Glac_Wael_S,253,-71.29947205139196,32.676408102974584,8.995979011330562,1.446837213254856e-05,1.1238691108401036e-11,0.0,True,log,4e+22,5e+20,96.0,Lambeck,Glac,S
output96Cp47_Lambeck_Glac_Wael_S,254,-71.3007221654939,34.70384539049243,8.997229125432497,1.4450296317285039e-05,1.9774113274514694e-12,0.0,True,log,7e+21,4e+20,96.0,Lambeck,Glac,S
output96Cp410_L6G-47_Glac_Wael_S,255,-71.34060495733586,32.84210327423896,9.037111917274459,1.3885319471616611e-05,7.728610506840032e-12,0.0,True,log,1e+22,4e+20,96.0,L6G-47,Glac,S
output96Cp35_L6G_Glac_Wael_S,256,-71.34738130890618,37.43894110182765,9.043888268844782,1.3791545745906512e-05,3.767975970280735e-12,0.0,True,log,5e+21,3e+20,96.0,L6G,Glac,S
output96Cp33_Colleoni_Glac_Wael_T,257,-71.38260309581844,29.17163494998453,9.079110055757042,1.3314238019590338e-05,8.789913362134629e-13,0.0,True,log,3e+21,3e+20,96.0,Colleoni,Glac,T
output96Cp430_L6G_Glac_Wael_S,258,-71.4423767245048,35.628091294798494,9.1388836844434,1.254171592193761e-05,2.2332059768561424e-12,0.0,True,log,3e+22,4e+20,96.0,L6G,Glac,S
output96Cp530_L6G-32_Glac_Wael_S,259,-71.49837372240435,37.47552069860662,9.194880682342955,1.1858718836424202e-05,5.39803104283739e-12,0.0,True,log,3e+22,5e+20,96.0,L6G-32,Glac,S
output96Cp43_L6G-32_Glac_Wael_T,260,-71.51170715071719,31.450261189185063,9.208214110655788,1.1701650912841283e-05,5.956446358359482e-12,0.0,True,log,3e+21,4e+20,96.0,L6G-32,Glac,T
output71Cp415_L6G_Glac_Wael_S,261,-71.52126503050603,41.98744827635353,9.217771990444632,1.1590340732128121e-05,1.9722570887403682e-11,0.0,True,log,1.5e+22,4e+20,71.0,L6G,Glac,S
output71Cp510_Lambeck_Glac_Wael_T,262,-71.54525818537263,38.883617676132886,9.241765145311234,1.1315561484260956e-05,1.3189770239408405e-11,0.0,True,log,1e+22,5e+20,71.0,Lambeck,Glac,T
output71Cp515_L6G_Glac_Wael_S,263,-71.5775886484756,41.737645735415626,9.2740956084142,1.0955574765925368e-05,7.8849298761378e-12,0.0,True,log,1.5e+22,5e+20,71.0,L6G,Glac,S
output96Cp47_L6G-32_Glac_Wael_S,264,-71.5934522710789,40.00229169696635,9.289959231017505,1.0783150911835633e-05,2.2005921495467842e-12,0.0,True,log,7e+21,4e+20,96.0,L6G-32,Glac,S
output96Cp440_Lambeck_Glac_Wael_S,265,-71.5979478417705,32.92025048900969,9.294454801709108,1.0734783296107658e-05,1.2294486462449377e-11,0.0,True,log,4e+22,4e+20,96.0,Lambeck,Glac,S
output71Cp320_L6G-32_Glac_Wael_S,266,-71.70560710569708,48.504078077864065,9.402114065635686,9.639121565226437e-06,4.0848483285471987e-14,0.0,True,log,2e+22,3e+20,71.0,L6G-32,Glac,S
output71Cp33_Colleoni_Glac_Wael_T,267,-71.70703735718374,37.935678672300526,9.40354431712234,9.625345051569018e-06,1.8026894910690119e-12,0.0,True,log,3e+21,3e+20,71.0,Colleoni,Glac,T
output96Cp515_Lambeck_Glac_Wael_T,268,-71.72067698327467,33.84431992621118,9.417183943213274,9.494950233889493e-06,1.028656394705218e-11,0.0,True,log,1.5e+22,5e+20,96.0,Lambeck,Glac,T
output71Cp520_L6G-47_Glac_Wael_S,269,-71.73044247864246,38.1283136607603,9.426949438581062,9.402678613689052e-06,4.748524249805554e-12,0.0,True,log,2e+22,5e+20,71.0,L6G-47,Glac,S
output96Cp310_L6G_Glac_Wael_S,270,-71.74133578302856,35.75732553012968,9.437842742967163,9.300808233399518e-06,9.149695723202357e-12,0.0,True,log,1e+22,3e+20,96.0,L6G,Glac,S
output96Cp420_Lambeck_Glac_Wael_T,271,-71.75542593848736,33.39743642885645,9.451932898425966,9.170677334719107e-06,1.827145136789993e-13,0.0,True,log,2e+22,4e+20,96.0,Lambeck,Glac,T
output96Cp520_L6G_Glac_Wael_S,272,-71.75617364714965,43.37565452595866,9.452680607088254,9.163822902715223e-06,1.5918254179726568e-11,0.0,True,log,2e+22,5e+20,96.0,L6G,Glac,S
output96Cp410_Lambeck_Glac_Wael_S,273,-71.77110737981701,33.04334350381924,9.467614339755613,9.027989594841625e-06,4.705891709883498e-12,0.0,True,log,1e+22,4e+20,96.0,Lambeck,Glac,S
output71Cp43_L6G-32_Glac_Wael_T,274,-71.77718198469852,29.46839319792656,9.473688944637118,8.973314358535581e-06,5.511717832043034e-12,0.0,True,log,3e+21,4e+20,71.0,L6G-32,Glac,T
output71Cp440_L6G-32_Glac_Wael_S,275,-71.79766378229769,48.517699483392306,9.494170742236292,8.791394136282514e-06,7.377531419279845e-12,0.0,True,log,4e+22,4e+20,71.0,L6G-32,Glac,S
output71Cp315_L6G_Glac_Wael_S,276,-71.89013352797103,39.79944277896276,9.586640487909634,8.014910009655927e-06,5.568561227388727e-12,0.0,True,log,1.5e+22,3e+20,71.0,L6G,Glac,S
output96Cp315_Lambeck_Glac_Wael_T,277,-71.90425297521082,34.99728426225211,9.600759935149426,7.902539085151217e-06,3.7922054560402754e-12,0.0,True,log,1.5e+22,3e+20,96.0,Lambeck,Glac,T
output71Cp415_L6G-32_Glac_Wael_S,278,-71.94089273780074,45.166594952079635,9.63739969773934,7.618232203007792e-06,5.781723964053153e-12,0.0,True,log,1.5e+22,4e+20,71.0,L6G-32,Glac,S
output96Cp37_L6G-47_Glac_Wael_S,279,-71.95166769655296,36.69431759637484,9.648174656491562,7.536586718537027e-06,1.2465016704903335e-11,0.0,True,log,7e+21,3e+20,96.0,L6G-47,Glac,S
output96Cp440_Lambeck_Glac_Wael_T,280,-71.99429840714694,36.69833207851073,9.690805367085545,7.222048793631322e-06,1.7723032647332678e-11,0.0,True,log,4e+22,4e+20,96.0,Lambeck,Glac,T
output96Cp430_L6G-47_Glac_Wael_S,281,-72.04413867415276,34.50273476325467,9.740645634091365,6.870922743095934e-06,1.6638815533518685e-11,0.0,True,log,3e+22,4e+20,96.0,L6G-47,Glac,S
output96Cp430_L6G-32_Glac_Wael_S,282,-72.0468603368342,38.98921698338029,9.743367296772803,6.852247834006221e-06,4.303795827793878e-12,0.0,True,log,3e+22,4e+20,96.0,L6G-32,Glac,S
output96Cp320_L6G_Glac_Wael_S,283,-72.07496015921834,46.804446588630604,9.771467119156938,6.662380992277762e-06,1.6287736384227835e-11,0.0,True,log,2e+22,3e+20,96.0,L6G,Glac,S
